recclass reclat
LL5 43.116670
"Iron 1947
H5 20.933330
Achondrite-ung 44.116670
H5 49.983330
L6 30.900000
H5 26.216670
H6 39.300000
Eucrite-mmict 42.583330
H5 20.916670
H6 39.824670
L5 32.433330
L6 59.733330
H5 45.683330
L4 55.000000
OC 27.133330
LL4 43.666670
H5 47.366670
L6 54.008830
H5 35.166670
L6 45.250000
OC 44.416670
"Iron 1945
L6 44.750000
L6 46.950000
L6 51.050000
H6 48.016670
H4 38.700000
EH5 -32.016670
LL3.3 38.166670
LL6 48.450000
L6 61.650000
L6 43.433330
H5 59.933330
Eucrite-mmict 49.283330
L6 45.050000
H4 50.766670
"Iron 1990
Stone-uncl 52.533330
L6 41.200000
L6 56.583330
Stone-uncl 50.383330
H5 45.968610
L6 36.483330
L6 50.538060
L6 31.616670
LL6 12.666670
L/LL6 25.933330
H5 44.866670
H6 26.716670
C 38.803890
H4 33.188360
H5 49.400000
L5 36.183330
C2-ung 59.704440
H4/5 34.720000
H5 35.383330
Eucrite-cm 
L6 -7.750000
H5 31.163330
L5 35.433330
L5 45.400000
Diogenite 32.950000
L6 19.383330
L6 35.133330
L6 46.716670
L6 -25.733330
L4 58.033330
H6 33.400000
L6 -1.002780
H4/5 -29.333330
H5 32.946670
H/L3.6 49.600000
L6 38.200000
L6 14.250000
H5 54.500000
H6 13.633330
Martian (shergottite) 29.481950
H6 -7.083330
L5 -6.666670
LL6 47.850000
H6 20.166670
L 34.500000
H4/5 38.366670
CI1 24.650000
H6 45.066670
H6 42.066670
H6 43.600000
OC 51.733330
L6 50.783330
LL6 52.216670
H3/4 45.466670
"Iron 1916
H 58.473330
L6 32.166670
L/LL6 61.300000
H5-6 36.063330
L6 9.666670
H6 45.466670
Stone-uncl 30.000000
L5 45.345830
LL5 21.666670
H4 60.000000
Iron 57.166670
H5 -19.816670
H5 11.050000
L6 41.766670
H3 
"Iron 1927
LL7 51.650000
H5 13.483330
EL6 -4.266670
L 46.933330
LL5 30.333330
L5 13.466670
L4 66.138890
OC 34.800000
Stone-uncl 34.483330
L6 49.975000
L6 52.116670
H5 47.116670
H6 45.416670
H6 11.983330
L6 44.866670
Stone-uncl 44.066670
L5 9.316670
L5 -20.850010
LL6 46.150000
H5 56.133330
Mesosiderite-B2 35.333330
H5 48.416670
H6 43.500000
Eucrite-mmict 57.800000
CV3 44.850000
L6 42.800000
Stone-uncl -25.833330
L5 54.225000
L6 43.533330
LL4-6 23.100000
Eucrite-cm 16.833330
H6 25.450000
L6 46.633330
L6 34.333330
CO3.7 38.683330
Howardite 45.583330
H5 32.797320
H5 48.950000
H4 41.266667
L6 41.700000
L6 41.710560
H5 31.961850
H5 -26.592780
H5 -26.000000
LL4 -28.666670
L5 -32.500000
OC 9.000000
L6 54.136670
L6 -27.750000
L5 42.384670
H6 36.750000
